# Draw,Numbers,Complementary #,Lucky #,Rules
1970-01-10,"[7, 8, 12, 17, 32, 40]",24,,6/40 : 6 numbers from 1 to 40
1970-01-17,"[7, 12, 22, 24, 29, 40]",30,,6/40 : 6 numbers from 1 to 40
1970-01-24,"[16, 22, 25, 27, 30, 35]",24,,6/40 : 6 numbers from 1 to 40
1970-01-31,"[3, 11, 21, 22, 24, 39]",8,,6/40 : 6 numbers from 1 to 40
1970-02-07,"[2, 5, 11, 16, 18, 38]",37,,6/40 : 6 numbers from 1 to 40
1970-02-14,"[5, 10, 17, 29, 37, 40]",11,,6/40 : 6 numbers from 1 to 40
1970-02-21,"[2, 4, 18, 21, 22, 36]",19,,6/40 : 6 numbers from 1 to 40
1970-02-28,"[1, 2, 21, 25, 26, 29]",31,,6/40 : 6 numbers from 1 to 40
1970-03-07,"[1, 11, 24, 29, 32, 33]",40,,6/40 : 6 numbers from 1 to 40
1970-03-14,"[15, 24, 28, 30, 31, 33]",34,,6/40 : 6 numbers from 1 to 40
1970-03-21,"[5, 8, 13, 29, 34, 35]",20,,6/40 : 6 numbers from 1 to 40
1970-04-04,"[1, 3, 9, 15, 18, 28]",36,,6/40 : 6 numbers from 1 to 40
1970-04-11,"[14, 16, 22, 25, 36, 39]",23,,6/40 : 6 numbers from 1 to 40
1970-04-18,"[2, 13, 17, 18, 32, 36]",27,,6/40 : 6 numbers from 1 to 40
1970-04-25,"[5, 9, 15, 27, 29, 39]",20,,6/40 : 6 numbers from 1 to 40
1970-05-02,"[5, 8, 11, 13, 34, 38]",1,,6/40 : 6 numbers from 1 to 40
1970-05-09,"[3, 15, 28, 34, 38, 40]",12,,6/40 : 6 numbers from 1 to 40
1970-05-16,"[1, 6, 7, 8, 28, 32]",38,,6/40 : 6 numbers from 1 to 40
1970-05-23,"[4, 9, 12, 18, 22, 30]",23,,6/40 : 6 numbers from 1 to 40
1970-05-30,"[11, 13, 14, 19, 23, 34]",3,,6/40 : 6 numbers from 1 to 40
1970-06-06,"[10, 16, 20, 30, 31, 39]",26,,6/40 : 6 numbers from 1 to 40
1970-06-13,"[6, 8, 11, 28, 36, 40]",26,,6/40 : 6 numbers from 1 to 40
1970-06-20,"[10, 16, 23, 25, 30, 34]",9,,6/40 : 6 numbers from 1 to 40
1970-06-27,"[15, 24, 25, 26, 31, 32]",8,,6/40 : 6 numbers from 1 to 40
1970-07-04,"[13, 20, 27, 29, 35, 37]",15,,6/40 : 6 numbers from 1 to 40
1970-07-11,"[7, 9, 14, 15, 16, 26]",32,,6/40 : 6 numbers from 1 to 40
1970-07-18,"[1, 4, 6, 19, 35, 40]",12,,6/40 : 6 numbers from 1 to 40
1970-07-25,"[3, 17, 22, 26, 31, 39]",15,,6/40 : 6 numbers from 1 to 40
1970-08-01,"[19, 24, 33, 35, 36, 37]",8,,6/40 : 6 numbers from 1 to 40
1970-08-08,"[9, 18, 25, 26, 30, 37]",35,,6/40 : 6 numbers from 1 to 40
1970-08-15,"[8, 11, 25, 27, 30, 32]",37,,6/40 : 6 numbers from 1 to 40
1970-08-22,"[7, 10, 20, 30, 33, 38]",3,,6/40 : 6 numbers from 1 to 40
1970-08-29,"[2, 11, 16, 25, 29, 32]",33,,6/40 : 6 numbers from 1 to 40
1970-09-05,"[7, 8, 10, 19, 25, 38]",5,,6/40 : 6 numbers from 1 to 40
1970-09-12,"[2, 3, 15, 22, 25, 29]",17,,6/40 : 6 numbers from 1 to 40
1970-09-19,"[11, 24, 28, 31, 34, 35]",40,,6/40 : 6 numbers from 1 to 40
1970-09-26,"[1, 2, 6, 14, 37, 38]",20,,6/40 : 6 numbers from 1 to 40
1970-10-03,"[7, 12, 15, 30, 33, 40]",6,,6/40 : 6 numbers from 1 to 40
1970-10-10,"[23, 25, 26, 31, 32, 35]",4,,6/40 : 6 numbers from 1 to 40
1970-10-17,"[22, 34, 35, 38, 39, 40]",18,,6/40 : 6 numbers from 1 to 40
1970-10-24,"[12, 16, 20, 22, 39, 40]",28,,6/40 : 6 numbers from 1 to 40
1970-10-31,"[4, 12, 15, 21, 25, 27]",1,,6/40 : 6 numbers from 1 to 40
1970-11-07,"[17, 23, 27, 28, 33, 40]",38,,6/40 : 6 numbers from 1 to 40
1970-11-14,"[4, 9, 19, 24, 27, 33]",40,,6/40 : 6 numbers from 1 to 40
1970-11-21,"[3, 9, 13, 25, 31, 39]",20,,6/40 : 6 numbers from 1 to 40
